Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
A. Dhamdhere; C. Dovrolis; P. Francois,2010-10-01,A Value-based Framework for Internet Peering Agreements,International Teletraffic Congress (ITC),,,,Conference Paper,
G. Huston; M. Rossi; G. Armitage,2010-10-01,A Technique for Reducing BGP Update Announcements through Path Exploration Damping,IEEE Journal on Selected Areas in Communications (JSAC),28,8,1271-1286,Peer,
M. Ahmad; R. Guha,2010-10-01,Impact of Internet exchange points on Internet topology evolution,IEEE Local Computer Network Conference,,,,Conference Paper,
L. Zhang,2010-09-01,6Watch: Gauging the Global Rollout of IPv6,Presentation at University,,,,Self,
L. Trajkovic,2010-08-01,Analysis of Internet Topologies,IEEE Circuits and Systems Magazine,10,3,48-54,Peer,
W. Zhang; X. Yin; J. Wu; W. Zhang; S. Huang,2010-08-01,Real Aggregation for Reducing Routing Information Base Size,Journal of Convergence Information Technology,5,6,,Peer,
K. Sriram; P. Gleichmann;Y-T. Kim; D. Montgomery,2010-07-01,Enhanced Efficiency of Mapping Distribution Protocols in Scalable Routing and Addressing Architecture,ICCCN,,,,Peer,
NIS. BG. Securit. Team,2010-07-01,Measurement Data on A. SET and AGGREGATOR: Implications for {Prefix, Origin} Validation Algorithms,Presentation at National Institute of Standards and Technology,,,,Peer,
L. Subedi; L. Trajkovic,2010-06-01,Spectral analysis of Internet topology graphs,IEEE International Symposium on Circuits and Systems,,,,Conference Paper,
A. Khan,2010-04-01,Inter-domain Routing (BGP) Security [IP Prefix Hijacking],Presentation,,,,Self,
B. Huffaker; A. Dhamdhere; M. Fomenkov; K. Claffy,2010-04-01,Toward Topology Dualism: Improving the Accuracy of AS Annotations for Routers,Passive and Active Network Management Workshop (PAM),,,,Conference Paper,
P-c. Cheng; X. Zhao; B. Zhang; L. Zhang,2010-04-01,Longitudinal study of BGP monitor session failures,ACM SIGCOMM Computer Communications Review (CCR),40,2,34-42,Peer,
P-C. Cheng; X. Zhao; B. Zhang; L. Zhang,2010-04-01,Longitudinal study of BGP monitor session failures,ACM SIGCOMM Computer Communication Review,40,2,34-42,Peer,
A. Kalafut; C. Shue; M. Gupta,2010-03-01,Malicious Hubs: Detecting Abnormally Malicious Autonomous Systems,2010 Proceedings IEEE INFOCOM,,,,Conference Paper,
F. Papdopoulos; D. Krioukov; M. Boguñá; A. Vahdat,2010-03-01,Greedy Forward in Dynamic Scale-Free Networks Embedded in Hyperbolic Metric Spaces,IEEE Conference on Computer Communications (INFOCOM),,,,Conference Paper,
R. Khosla; S. Fahmy; Y. Hu; J. Neville,2010-03-01,Predicting Prefix Availability in the Internet,2010 Proceedings IEEE INFOCOM,,,,Conference Paper,
S. DiBenedetto; A. Stone; M. Strout; D. Massey,2010-03-01,Simulating Internet Scale Topologies with Metarouting,Colorado State University - Technical Report,,,,Peer,
S. Shakkottai; M. Fomenkov; R. Koga; D. Krioukov; K. Claffy,2010-03-01,Evolution of the Internet AS-Level Ecosystem,European Physical Journal B,74,2,271-278,Peer,
X. Zhao; Y. Liu; L. Wang; B. Zhang,2010-03-01,On the Aggregatability of Router Forwarding Tables,2010 Proceedings IEEE INFOCOM,,,,Conference Paper,
Y. Wang; J. Bi; J. Wu,2010-03-01,Empirical Evaluation for the Impact of Core-Edge Separation on Internet Routing Scalability,2010 INFOCOM IEEE Conference on Computer Communications Workshops,,,,Conference Paper,
Y. Wang; J. Bi; J. Wu,2010-03-01,Empirical Evaluation for the Impact of Core-Edge Separation on Internet Routing Scalability,2010 INFOCOM IEEE Conference on Computer Communications Workshops,,,,Conference Paper,
R. Beverly; A. Berger,2010-02-01,Directed Probing for Efficient and Accurate Active Measurements,AIMS-2 Workshop on Active Internet Measurements,,,,Conference Paper,
M. Guidry; Y. Shankar,2010-01-01,BGP Behavior through Analysis of Prefix Beacons Presentation,Self-Published,,,,Self,
M. Guidry; Y. Shankar,2010-01-01,BGP Behavior through Analysis of Prefix Beacons Paper,Self-Published,,,,Self,
M. Wahlisch,2010-01-01,Modeling the Network Topology,Modeling and Tools for Network Simulation,,,,Peer,
T. Huang; C. Hong,2010-01-01,Mining NANOG Mailing List,Unknown,,,,Peer,
X-Z. Jiang;M-W. Xu;,2010-01-01,Distributed Control Plane: Adaptive Load Balancing for Parallel BGP Route Computing,Chinese Journal of Computers,,9,1591-1601,Peer,
C. McArthur; M. Guirguis,2009-12-01,Stealthy IP Prefix Hijacking: Don't Bite Off More Than You Can Chew,GLOBECOM 2009 - 2009 IEEE Global Telecommunications Conference,,,,Conference Paper,
J. Muir; P. va. Oorschot,2009-12-01,Internet Geolocation: Evasion and counterevasion,ACM Computing Surveys (CSUR),42,4,,Peer,
K. Chen; C. Hu; W. Zhang; Y. Chen; B. Liu,2009-12-01,On the Eyeshots of BGP Vantage Points,GLOBECOM 2009 - 2009 IEEE Global Telecommunications Conference,,,,Conference Paper,
P. Arjona-Villicana; C. Constantinou; A. Stpanenko,2009-12-01,The Internet's unexploited path diversity,arXiv:0912.5218,,,,Peer,
S. Strowes; C. Perkins,2009-12-01,Deterministic, reduced-visibility inter-domain forwarding,Co-Next Student Workshop '09 Proceedings of the 5th international workshop on Emerging networking experiments and technologies,,,09-Oct,Conference Paper,
D. Krioukov; F. Papdopoulos; A. Vahdat; M. Boguñá,2009-11-01,On Curvature and Temperature of Complex Networks,Physical Review E,80,35101,,Peer,
P. Dong; H. Wang; Y. Qin; H. Zhang;S-Y. Kuo,2009-11-01,Evaluation of Scalable Routing Architecture Based on Locator/Identifier Separation,2009 IEEE Globecom Workshops,,,,Conference Paper,
P. Merindol; V. Va. de. Schreick; B. Donnet; O. Bonaventure;J-J. Pansiot,2009-11-01,Quantifying ases multiconnectivity using multicast information,IMC '09 Proceedings of the ninth ACM SIGCOMM conference on Internet measurement,,,370-376,Conference Paper,
R. Beverly; A. Berger; Y. Hyun; K. Claffy,2009-11-01,Understanding the Efficacy of Deployed Internet Source Address Validation Filtering,Internet Measurement Conference (IMC),,,,Conference Paper,
R. Clegg; C. D. Cairano-Gilfedder; S. Zhou,2009-10-01,A critical look at power law modelling of the Internet,arXiv:0910.2140,,,,Peer,
S. Rao; V. Rao; V. Rao; D. Kumar; G. Anuradha; D. Rao; P. Chandra; K. Chaitanya; T. Anand,2009-10-01,Autonomous Systems from the View of Multiple Vantage Points,International Journal of Computer Science and Network Security,9,10,,Peer,
H. Haddadi; D. Fay; A. Jamakovic; O. Maennel; A. Moore; R. Mortier; S. Uhlig,2009-09-01,On the importance of local connectivity for Internet topology models,2009 21st International Teletraffic Congress,,,,Conference Paper,
F. Papdopoulos; D. Krioukov; M. Boguñá; A. Vahdat,2009-07-01,Greedy Forwarding in Dynamic Scale-Free Networks Embedded in Hyperbolic Metric Spaces: Technical Report,Cooperative Association for Internet Data Analysis (CAIDA),,,,Peer,
R. Clegg; R. Landa; M. Rio; U. Harder,2009-07-01,A likelihood based framework for assessing network evolution models tested on real network data,Proceedings of the 1st Annual Workshop on Simplifying Complex Network for Practictioners,,,,Conference Paper,
Y. Shavitt; E. Shir; U. Weinsberg,2009-06-08,Near-Deterministic Inference of AS Relationships,Presentation,,,,Peer,
A. Khan; T. Kwon; H. Kim,2009-06-01,Probabilistic IP prefix authentication (PIPA) for prefix hijacking,CFI '09 Proceedings of the 4th International Conference on Future Internet Technologies,,,52-55,Conference Paper,
X. Yin; X. Wu; Z. Wang,2009-06-01,Measuring IP Address Fragmentation from BGP Routing Dynamics,International Conference on Scalable Information Systems,,,46-57,Conference Paper,
Y. Shavitt; E. Shir; U. Weinsberg,2009-06-01,Near-Deterministic inference of AS relationships,2009 10th International Conference on Telecommunications,,,,Conference Paper,
B. Donnet,2009-05-01,Incentives fo BGP Guided IP-Level Topology Discovery,International Workshop on Traffic Monitoring and Analysis,,,,Conference Paper,
C. Magnien; F. Ouédraogo; G. Valadon; M. Latapy,2009-05-01,Fast Dynamics in Internet Topology: Observations and First Explanations,2009 Fourth International Conference on Internet Monitoring and Protection,,,,Conference Paper,
M. Najiminaini; L. Subedi; L. Trajkovic,2009-05-01,Analysis of Internet topologies: A historical view,IEEE International Symposium on Circuits and Systems,,,,Conference Paper,
C. Lumezanu; R. Baden; N. Spring; B. Bhattacharjee,2009-04-01,Triangle Inequality and Routing Policy Violations in the Internet,International Conference on Passive and Active Network Measurement,5448,,45-54,Conference Paper,
E. Karpilovsky; A. Gerber; D. Pei; J. Rexford; A. Shaikh,2009-04-01,Quantifying the Extent of IPv6 Deployment,International Conference on Passive and Active Network Measurement,,,13-22,Conference Paper,
R. Clegg; R. Landa; U. Harder; M. Rio,2009-04-01,Evaluating and Optimising Models of Network Growth,arXiv:0904.0785,,,,Peer,
Y. Shavitt; U. Weinsberg,2009-04-01,Quantifying the Importance of Vantage Points Distribution in Internet Topology Measurements,IEEE INFOCOMM 2009,,,,Conference Paper,
H. Yan; R. Oliveira; K. Burnett; D. Matthews; L. Zhang; D. Massey,2009-03-01,BGPmon: A Real-Time, Scalable, Extensible Monitoring System,2009 Cybersecurity Applications & Technology Conference for Homeland Security,,,,Conference Paper,
J. Karlin; S. Forrest; J. Rexford,2009-03-01,Nation-State Routing: Censorship, Wiretapping, and BGP,arXiv:0903.3218,,,,Peer,
K. Claffy; Y. Hyun;K_Keys; M. Fomenkov; D. Krioukov,2009-03-01,Internet Mapping: From Art to Science,2009 Cybersecurity Applications & Technology Conference for Homeland Security,,,,Conference Paper,
K. Sriram; O. Borchert; O. Kim; P. Gleichmann; D. Montgomery,2009-03-01,A Comparative Analysis of BGP Anomaly Detection and Robustness Algorithms,2009 Cybersecurity Applications & Technology Conference for Homeland Security,,,,Conference Paper,
X. Wu; X. Yin; Z. Wang; M. Tang,2009-03-01,A three-step dynamic threshold method to cluster BGP updates into routing events,2009 International Symposium on Autonomous Decentralized Systems,,,,Conference Paper,
S. Shakkottai; M. Fomenkov; R. Koga; D. Krioukov; K. Claffy,2009-02-01,Evolution of the Internet AS-Level Ecosystem,International Conference on Complex Sciences (Complex),,,,Conference Paper,
S. Zhou,2009-02-01,Power Law Modeling of Internet Topology,International Conference on Complex Sciences,,,,Conference Paper,
Y. Hyun,2009-02-01,Archipelago: Measurement Infrastructure,ISMA 2009 AIMS Workshop,,,,Conference Paper,
A. Rasti,2009-01-01,P2P Overlay, Internet Underlay, and Their Mutual Impact,Unknown,,,,Peer,
G. Zhang,2009-01-01,Measuring the Impacts of Sampling Bias on Internet AS-Level Topology Inference,2009 WRI International Conference on Communications and Mobile Computing,,,,Conference Paper,
H. Yan; D. Massey; E. McCracken; L. Wang,2009-01-01,BGPMon and NetVews: Real-Time BGP Monitoring System,IEEE INFOCOM, demo,,,,Conference Paper,
S. Strowes; C. Perkins,2009-01-01,Randomness for Reduced-State Inter-Domain Forwarding,Unpublished,,,,Self,
W. Li; J. Yang,2009-01-01,Comparing Networks from a Data-Analysis Perspective,International Conference on Complex Sciences,,,1907-1916,Conference Paper,
J. Leskovec; D. Chakrabarty; J. Kleinberg; C. Faloutsos; Z. Ghahramani,2008-12-01,Kronecker Graphs: An Approach to Modeling Networks,arXiv:0812.4905,,,,Peer,
J. Li; D. Dou; S. Kim; H. Qin; Y. Wang,2008-12-01,On Knowledge-Based Classification of Abnormal BGP Events,International Conference on Information Systems Security,,,267-271,Conference Paper,
K. _Jang; D. _Lee; S. _Moon; G. _Iannaccone,2008-12-01,Internet Sibilla: utilizing DNS for delay estimation service,CoNEXT '08 Proceedings of the 2008 ACM CoNext Conference,,54,,Conference Paper,
N. Wang; B. Wang,2008-12-01,A Secure Inter-Domain Routing Protocol,2008 Second International Symposium on Intelligent Information Technology Application,,,,Conference Paper,
S. L. Blond; A. Legout; W. Dabbous,2008-12-01,Pushing BitTorrent Locality to the Limit,arXiv:0812.0581,,,,Peer,
T. McGregor,2008-12-01,Case Studies in Computer Network Measurement,2008 Ninth International Conference on Parallel and Distributed Computing, Applications and Technologies,,,,Conference Paper,
W. Eddy,2008-12-01,Basics properties of the IPv6 AS-level topology,ACM SIGMETRICS Performance Evaluation Review,36,3,50-57,Peer,
K. Levanti; H. Kim,2008-11-01,P2P-Based Internet-Wide Management of Interdomain Routing,IEEE GLOBECOM 2008,,,,Conference Paper,
A. Dhamdhere; C. Dovrolis,2008-10-01,Ten years in the evolution of the internet ecosystem,IMC '08 Proceedings of the 8th ACM SIGCOMM conference on Internet measurement,,,,Conference Paper,
J. Leskovec; K. Jang; A. Dasgupta; M. Mahoney,2008-10-01,Community Structure in Large Networks: Natural Cluster Sizes and the Absence of Large Well-Defined Clusters,arXiv:0810.1355,,,,Peer,
M. Roughan; S. Tuke; O. Maennel,2008-10-01,Bigfoot, Sasquatch, the Yeti and Other Missing Links: What We Don't Know About the AS Graph,IMC '08 Proceedings of the 8th ACM SIGCOMM conference on Internet measurement,,,325-330,Conference Paper,
W. Zhang; X. Yin; J. Wu; Z. Whang,2008-10-01,Research on AS Path Diversity Based on Multihoming,International Symposium on Computer Science and its Applications,,,,Conference Paper,
Y. Chi; R. Oliveira; L. Zhang,2008-10-01,Cyclops: the AS-Level connectivity observatory,ACM SIGCOMM Computer Communication Review,38,5,May-16,Peer,
J. Shearer; K. Ma; T. Kohlenberg,2008-09-01,BGPeep: An IP-Space Centered View for Internet Routing Data,International Workshop on Visualization for Computer Security,,,95-110,Conference Paper,
V. Raghavan; G. Riley; T. Jaafar,2008-09-01,Realistic Topology Modeling for the Internet BGP Infrastructure,IEEE Symposium on Modeling, Analysis and Simulation of Computers and Telecommunications Systems (MASCOTS),,,01-Aug,Conference Paper,
V. Raghavan; G. Riley; T. Jaafar,2008-09-01,Realistic Topology Modeling for the Internet BGP Infrastructure,2008 IEEE International Symposium on Modeling, Analysis, and Simulation of Computers and Telecommunications Systems,,,,Conference Paper,
X. Liu; P. Zhu; Y. Peng,2008-09-01,SEM: A Security Evaluation Model for Interdomain Routing System in the Internet,International Workshop on IP Operations and Management,,,142-153,Conference Paper,
A. Sapegin; S. Uhlig,2008-08-01,On the extent of correlation in BGP updates in the Internet and what it tells us about locality of BGP routing events,Elsevier Computer Communications Journal,36,15,1592-1605,Peer,
H. Haddadi; D. Fay; A. Jamakovic; O. Maennel; A. Moore; R. Mortier; S. Uhlig,2008-07-01,Beyond Node Degree: Evaluating AS Topology Models,Unknown,,,,Peer,
P. Holme; J. Karlin; S. Forrest,2008-07-01,An integrated model of traffic, geography and economy in the internet,ACM SIGCOMM Computer Communication Review,38,3,May-16,Peer,
R. Smith,2008-07-01,The Dynamics of Internet Traffic: Self-Similarity, Self-Organization, and Complex Phenomena,arXiv:0807.3374,,,,Peer,
X. Dimitropoulos; M. Ángele. Serrano; D. Krioukov,2008-07-01,On Cycles in AS Relationships,ACM SIGCOMM Computer Communication Review (CCR),38,3,102-104,Peer,
P. Verkaik; A. Broido; K. Claffy,2008-05-29,Atoms - Atomised Routing,CAIDA,,,,Peer,
B. Yuan; G. Zhang; Y. Li; G. Zhang; Z. Li,2008-05-01,Improving Chinese Internet's Resilience through Degree Rank Based Overly Relays Placement,2008 IEEE International Conference on Communications,,,,Conference Paper,
D. Krioukov; F. Papdopoulos; A. Vahdat; M. Boguñá,2008-05-01,Efficient Navigation in Scale-Free Networks Embedded in Hyperbolic Metric Spaces,arXiv cond-mat.stat-mech/0805.1266,,,, “,
F. Papadopoulos; D. Krioukov; M. Boguna; A. Vahdat,2008-05-01,Greedy Forwarding in Dynamic Scale-Free Networks Embedded in Hyperbolic Metric Spaces,arXiv:0805.1266,,,,Peer,
N. Wang; B. Wang,2008-05-01,AT: An Origin Verification Mechanism Based on Assignment Track for Securing BGP,2008 IEEE International Conference on Communications,,,,Conference Paper,
B. Donnet; O. Bonaventure,2008-04-01,On BGP communities,ACM SIGCOMM Computer Communication Review,38,2,55-59,Peer,
Y. Li; J. -H. Cui; D. Maggiorini; M. Faloutsos,2008-04-01,Characterizing and Modelling Clustering Features in AS-Level Interenet Topology,IEEE INFOCOM 2008 - The 27th Conference on Computer Communications,,,,Conference Paper,
Z. Chen; C. Ji; P. Barford,2008-04-01,Spatial-Temporal Characteristics of Internet Malicious Sources,IEEE INFOCOM 2008 - The 27th Conference on Computer Communications,,,,Conference Paper,
M. Ángele. Serrano; D. Krioukov; M. Boguñá,2008-02-01,Self-similarity of complex networks and hidden metric spaces,Physical Review Letters,100,,78701,Peer,
A. Stewart; M. Antoskiwicz,2008-01-01,BGP Route Analysis and Management Systems,IEEE Proceedings of 5th International Conference on Information Technology,,,,Conference Paper,
J. Clement;K-W. Chin,2008-01-01,Power-law and stable distributions of BGP paths,International Conference on Information Technology and Applications,,,,Conference Paper,
R. Oliveira; D. Pei; W. Willinger; B. Zhang; L. Zhang,2008-01-01,Quantifying the Completeness of the Observed Internet AS-level Structure,UCLA Computer Science Department - Technical Report TR-080026-2008,,,,Peer,
V. Valancius; N. Feamster,2007-12-01,Multiplexing BGP sessions with BGP-Mux,CoNEXT Proceedings of the 2007 ACM CoNEXT conference,,44,,Conference Paper,
Y. Wang; J. Li,2007-12-01,Is your IP address prefix well-served by internet routing?,CoNEXT Proceedings of the 2007 ACM CoNEXT conference,,69,,Conference Paper,
J. Clement;K-W. Chin,2007-10-01,On the characteristics of BGP routes,2007 International Symposium on Communications and Information Technologies,,,,Conference Paper,
Y. Zhang; Z. Zhang; Z. Morle. Mao; C. Hu; B. MacDowel. Maggs,2007-10-01,On the impact of route monitor selection,Proceedings of the 7th ACM SIGCOMM conference on Internet measurement,,,215-220,Conference Paper,
B. Quoitin; L. Iannone; C. d. Launois; O. Bonaventure,2007-08-01,Evaluating the benefits of the locator/identifier separation,ACM/IEEE International Workshop on Mobility in the Evolving Internet Architecture,,5,,Conference Paper,
X. Dimitropoulos; D. Krioukov; A. Vahdat; G. Riley,2007-08-01,Graph Annotations in Modeling Complex Network Topologies,arXiv:0708.3879,,,,Peer,
A. Bradley; K. Claffy; K. Fall; D. Krioukov,2007-07-01,On Compact Routing for the Internet,ACM SIGCOMM Computer Communication Review (CCR),37,3,41-52,Peer,
A. Jackson; W. Milliken; C. Santivanez; M. Condell; W. Strayer,2007-07-01,A Topological Analysis of Monitor Placement,Sixth IEEE International Symposium on Network Computing and Applications,,,,Conference Paper,
A. Sriraman; K. Butler; P. McDaniel; P. Raghavan,2007-07-01,Analysis of the IPv4 Address Space Delegation Structure,2007 12th IEEE Symposium on Computers and Communications,,,,Conference Paper,
S. Carmi; S. Havlin; S. Kirkpatrick; Y. Shavitt; E. Shir,2007-07-01,A Model of Internet Topology using k-shell decomposition,PNAS,,,,Peer,
A. Flavel; M. Roughan; N. Bean; O. Maennel,2007-06-01,Modeling BGP Table Fluctuation,International Teletraffic Congress,,,141-153,Conference Paper,
S. Lo; R. Chang; L. Colitti,2007-06-01,An active approach to measuring routing dyanmics induced by autonomous systems,ExpCS '07 Proceedings of the 2007 workshop on Experimental computer science,,20,,Conference Paper,
Y. Guo; C. Chen; S. Zhou,2007-06-01,Inferring and visualizing topological structures of large-scale complex network,InfoScale '07 Proceedings of the 2nd International Conference on Scalable Information Systems,,3,,Conference Paper,
Y. Zhang; Z. Mao; J. Wang,2007-06-01,A Firewall for Routers: Protecting against Routing Misbehavior,37th Annual IEEE/IFIP International Conference on Dependable Systems and Networks,,,,Conference Paper,
Z. Li; D. Zhang; Y. Ma,2007-05-01,Tree, Segment Table, and Route Bucket: A Multi-Stage Algorithm for IPv6 Routing Table Lookup,IEEE INFOCOM 2007 - 26th IEEE International Conference on Computer Communications,,,,Conference Paper,
G. Zhang; G. Zhang,2007-04-01,Agent Selection And P2P Overlay Construction Using Global Locality Knowledge,2007 IEEE International Conference on Networking, Sensing and Control,,,,Conference Paper,
Z. Liu; B. Huffaker; M. Fomenkov; K. Claffy; N. Brownlee,2007-04-01,Two Days in the Life of the DNS Anycast Root Servers,Passive and Active Network Measurement Workshop (PAM),4427,,125-134,Conference Paper,
C. Bao; X. Li; J. Jiang,2007-01-01,Scalable Application-Specific Measurement Framework for High-Performance Network Video,Proceedings of the 2007 ACM NOSSDAV,,,,Conference Paper,
D. Blazakis; M. Karir; J. Baras,2007-01-01,Analyzing BGP ASPATH Behavior in the Internet,Unknown,,,,Peer,
X. Dimitropoulos; D. Krioukov; M. Fomenkov; B. Huffaker; Y. Hyun; K. Claffy; G. Riley,2007-01-01,AS Relationships: Inference and Validation,ACM SIGCOMM Computer Communication Review (CCR),37,1,29-40,Peer,
Y. Wang; Y. Wang; M. Chen; X. Li,2007-01-01,Inter-domain Access Volume Model: Ranking Autonomous Systems,International Conference on Information Networking,,,482-491,Conference Paper,
J. Abley; K. Lindqvist,2006-12-01,Operation of Anycast Services,RFC 4786,,,,Peer,
J. Han; D. Watson; F. Jahanian,2006-11-01,An Experimental Study of Internet Path Diversity,IEEE Transactions on Dependable and Secure Computing,3,4,273-288,Peer,
J. Li; Z. Wu; E. Purpus,2006-11-01,CAM04-5: Toward Understanding the Behavior of BGP During Large-Scale Power Outages,IEEE Globecom 2006,,,,Conference Paper,
J. Oberheide; M. Karir; D. Blazakis,2006-11-01,VAST: visualizing autonomous system topology,VizSEC '06 Proceedings of the 3rd International Workshop on Visualization for Computer Security,,,71-80,Conference Paper,
L. Shyu; S. Lau; P. Huang,2006-11-01,GEN02-3: On the Search of Internet AS-level Topolgy Invariants,IEEE Globecom 2006,,,,Conference Paper,
P. Cortese; G. Battista; A. Moneta; M. Patrignani; M. Pizzonia,2006-11-01,Topographic Visualization of Prefix Propagation in the Internet,IEEE Transactions on Visualization and Computer Graphics,12,5,725-732,Peer,
R. Cohen; M. Gonen; A. Wool,2006-11-01,Bounding the Bias of Tree-Like Sampling in IP Topologies,arXiv:cs/0611157,,,,Peer,
Z. Li; Y. Ma,2006-11-01,Trie-based Observations on the Routing Tables,2006 Japan-China Joint Workshop on Frontier of Computer Science and Technology,,,,Conference Paper,
C. Demetrescu; G. Italiano,2006-10-01,Experimental analysis of dynamic all pairs shortest path algorithms,ACM Transactions on Algorithms,2,4,578-601,Peer,
S. Wei; J. Mirkovic,2006-10-01,A realistic simulation of internet-scale events,06 Proceedings of the 1st international conference on Performance evaluation methodologies and tools,,28,,Conference Paper,
X. Liu; Y. Ji,2006-10-01,The effects of vendor-specific router implementation on convergence,2006 First International Conference on Communications and Networking in China,,,,Conference Paper,
D. Lee; S. Moon; T. Choi; T. Jeong,2006-09-01,Forensic analysis of autonomous system reachability,Proceedings of the 2006 SIGCOMM Workshop on Mining Network Data,,,335-340,Conference Paper,
D. Lee; S. Moon; T. Choi; T. Jeong,2006-09-01,Forensic analysis of autonomous system reachability,MineNet '06 Proceedings of the 2006 SIGCOMM workshop on Mining network data,,,335-340,Conference Paper,
S. Ren; L. Quo; X. Zhang,2006-07-01,ASAP: an AS-Aware Peer-Relay Protocol for High Quality VoIP,26th IEEE International Conference on Distributed Computing Systems,,,,Conference Paper,
S. Zhou,2006-07-01,Characterizing and modeling the internet topology - The rich-club phenomenon and the PFP model,BT Technology Journal,24,3,108-115,Peer,
Y. Kurokawa; J. Tanaka,2006-07-01,Registration of Policy Routing Choices,Presentation at Network Engineering Workshop in APAN Singapore Meeting,,,,Conference Paper,
S. Qui; P. McDaniel; F. Monrose; A. Rubin,2006-06-01,Characterizing Address Use Structure and Stability of Origin Advertisement in Inter-domain Routing,11th IEEE Symposium on Computers and Communications,,,,Conference Paper,
A. Iosup; P. Garbacki; J. Pouwelse; D. Epema,2006-05-01,Correlating Topology and Path Characteristics of Overlay Networks and the Internet,Sixth IEEE International Symposium on Cluster Computing and the Grid,,,,Conference Paper,
M. Lad; D. Massey; D. Pei; Y. Wu; B. Zhang; L. Zhang,2006-05-01,PHAS: A Prefix Hijacking Alert System,15th USENIX Security Symposium,,,153-166,Conference Paper,
P. Mahadevan; D. Krioukov;K_Fall; A. Vahdat,2006-05-01,Systematic Topology Analysis and Generation Using Degree Correlations,arXiv:cs/0605007,,,,Peer,
R. France; J. Bieman; B. Cheng,2006-05-01,CRI: Collaborative Project: Repository for Model Driven Development (ReMoDD),National Science Foundation: Division of Computer and Network Systems CISE Computing Research Infrastructure CRI Workshop,,,27-31,Peer,
R. Oliveira; M. Lad; B. Zhang; D. Pei; D. Massey; L. Zhang,2006-05-01,Placing BGP Monitors in the Internet,Technical No. UCLA, TR, 60017,,,,Peer,
X. Dimitropoulos; G. Riley,2006-05-01,Modeling Autonomous System Relationships,Principles of Advanced and Dirstributed Simulation (PADS),,,143-149,Conference Paper,
D. Blazakis; M. Karir; J. S. Baras,2006-04-01,BGP-Inspect - Extracting Information from Raw BGP Data,IEEE/IFIP Network Operations and Management Symposium NOMS 2006,,,,Conference Paper,
J. Muir; P. va. Oorschot,2006-04-01,Internet Geolocation and Evasion,Unknown,,,, “,
P. Boothe,2006-04-01,Internet Topology Data Warehouse Methodologies Compared,Final Project at University,,,,Self,
T. Wan; P. C. va. Oorschot,2006-04-01,Analysis of BGP prefix origins during Google's May 2005 Outage,Proceedings of 20th IEEE International Parallel & Distributed Processing Symposium,,,,Conference Paper,
X. Dimitropoulos; D. Krioukov; G. Riley; K. Claffy,2006-04-01,Revealing the Autnonomous System Tazonomy: The Machine Learning Approach,Passive and Active Network Measurement Workshop (PAM),,,,Conference Paper,
X. Dimitropoulos; D. Krioukov; G. Riley; K. Claffy,2006-04-01,Revealing the Autonomous System Taxonomy: The Machine Learning Approach,arXiv:cs/0604015,,,,Peer,
H. Chang; W. Willinger,2006-03-01,Difficulties Measuring the Internet's AS-Level Ecosystem,40th Annual Conference on Information Sciences and Systems,,,,Conference Paper,
C. Olschanowsky; D. Massey,2006-01-01,BGPmon v7: A Scalable Real-Time BGP Monitor,Unknown,,,,Peer,
D. Anderson; N. Feamster,2006-01-01,Challenges and Opportunities in Internet Data Mining,Parallel Data Laboratory - Carnegie Mellon University,,,,Peer,
D. Malone,2006-01-01,Counting 6to4 relay routers,ACM SIGCOMM Computer Communication Review,36,1,79-82,Peer,
D. Meyer; K. Patel,2006-01-01,RFC 4274,BGP-4 Protocol Analysis,,,,Peer,
K. Butler; S. Qiu; P. McDaniel,2006-01-01,BGPRV: A library for fast and efficient routing data manipulation,DETER Community Workshop,,,,Conference Paper,
M. Gastner; M. Newman,2006-01-01,The spatial structure of networks,European Physical Journal B,49,2,247-252,Peer,
M. Liljenstam; C. Omicron,2006-01-01,Simulating the National-Level impact of routing attacks in Sweden,Proceedings of the 4th Swedish National Computer Networking Workshop,,,,Conference Paper,
P. Mahadevan; D. Krioukov; M. Fomenkov; K. Claffy; A. Vahdat,2006-01-01,The internet AS-level topology: three data sources and one definitive metric,ACM SIGCOMM Computer Communication Review,36,1,17-26,Peer,
P. McDaniel; K. Butler,2006-01-01,Testing Large Scale BGP Security in Replayable Network Environments,Unknown,,,,Peer,
R. Chertov; S. Fahmy; P. Kumar; D. Bettis; A. Khreishah; N. Shroff,2006-01-01,Topology Generation, Instrumentation, and Experimental Control Tools for Emulation Testbeds,Proceedings of DETER community workshop 2006,,,,Conference Paper,
T. Erlebach; A. Hall; M. Mihal`ak,2006-01-01,Network Discovery in Random Graphs,Self-Published,,,,Peer,
V. Aggarwal; A. Feldmann; M. Gaertler; R. Gorke; D. Wagner,2006-01-01,Analysis of Overlay-Underlay Topology Using Visualization,IADIS Conference,,,,Conference Paper,
V. Colizza; A. Flammini; M. Serrano; A. Vespignani,2006-01-01,Detecting rich-club ordering in complex networks,Nature Physics,2,,110-115,Peer,
R. Fonseca; G. Mannin. Porter; R. Katz. S. Shenker; I. Stoica,2005-12-01,IP Options are not an option,Technical Report No. UCB/EECS-2005-24,,,,Peer,
R. Oliveira; R. Izhak-Ratzin; B. Zhang; L. Zhang,2005-12-01,Measurement of highly active prefixes in BGP,Global Telecommunications Conference,,,,Conference Paper,
